number,value,datetime_start,datetime_complete,duration,params_CLIP_GRAD,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_MOMENTUM_SGD,params_NUM_EPOCHS,params_NUM_LAYERS,params_OPTIMIZER,params_WEIGHT_DECAY,params_WEIGHT_INIT_TYPE,user_attrs_mae,user_attrs_mape,user_attrs_rmse,user_attrs_std_dev,state
52,57.18608093261719,2025-01-16 21:58:35.856669,2025-01-16 22:00:06.686125,0 days 00:01:30.829456,0.5,0.1,70,0.0008,0.0,10,1,adam,0.01,normal,52.949577,89.104965,57.18608093261719,21.600706,COMPLETE
53,3.568563938140869,2025-01-16 22:00:06.686721,2025-01-16 22:07:48.117877,0 days 00:07:41.431156,5.0,0.05,80,0.0008,0.1,17,5,adam,1e-05,he,2.8380296,6.1672235,3.568563938140869,3.5185604,COMPLETE
54,30.85967254638672,2025-01-16 22:07:48.118541,2025-01-16 22:21:51.334812,0 days 00:14:03.216271,5.0,0.35000000000000003,50,0.008,0.8,20,10,adamw,0.001,normal,25.659367,41.310467,30.85967254638672,21.667812,COMPLETE
55,19.291067123413086,2025-01-16 22:21:51.335377,2025-01-16 22:26:39.199999,0 days 00:04:47.864622,0.01,0.55,90,0.02,0.2,12,5,adamw,1e-05,normal,15.415997,36.7995,19.291067123413086,19.018078,COMPLETE
56,57.44416809082031,2025-01-16 22:26:39.200582,2025-01-16 22:29:47.877084,0 days 00:03:08.676502,0.001,0.25,100,0.008,0.8,14,2,adam,0.01,default,53.226772,89.67984,57.44416809082031,21.604235,COMPLETE
57,46.30592727661133,2025-01-16 22:29:47.877681,2025-01-16 22:36:47.991386,0 days 00:07:00.113705,0.001,0.35000000000000003,70,0.0005,0.8,12,8,adamw,0.0,normal,41.022976,64.64323,46.30592727661133,21.604235,COMPLETE
58,57.44417190551758,2025-01-16 22:36:47.992004,2025-01-16 22:41:33.781383,0 days 00:04:45.789379,0.001,0.4,40,0.001,0.7000000000000001,10,6,adam,0.01,he,53.226772,89.67977,57.44417190551758,21.60423,COMPLETE
59,59.215415954589844,2025-01-16 22:41:33.781941,2025-01-16 22:42:30.992601,0 days 00:00:57.210660,5.0,0.6,40,0.0003,0.1,7,1,adam,0.001,default,58.124165,110.30593,59.215415954589844,11.315692,COMPLETE
60,47.71099090576172,2025-01-16 22:42:30.993223,2025-01-16 22:46:01.523147,0 days 00:03:30.529924,5.0,0.5,60,0.0008,0.9,11,4,adamw,0.001,default,46.03778,82.9405,47.71099090576172,12.533601,COMPLETE
61,56.110530853271484,2025-01-16 22:46:01.523713,2025-01-16 22:48:13.347731,0 days 00:02:11.824018,2.0,0.05,20,0.05,0.4,5,6,sgd,0.0001,default,51.72042,86.42315,56.110530853271484,21.75751,COMPLETE
62,57.53349304199219,2025-01-16 22:48:13.348290,2025-01-16 22:53:43.342491,0 days 00:05:29.994201,0.001,0.25,10,0.02,0.0,8,10,sgd,0.0001,normal,53.28645,89.8706,57.53349304199219,21.694569,COMPLETE
63,23.469974517822266,2025-01-16 22:53:43.343124,2025-01-16 22:59:08.443929,0 days 00:05:25.100805,0.5,0.5,80,0.05,0.2,12,5,adamw,0.001,normal,20.12135,40.04627,23.469974517822266,21.603085,COMPLETE
64,40.64564895629883,2025-01-16 22:59:08.444596,2025-01-16 23:00:24.873039,0 days 00:01:16.428443,,0.5,20,0.0008,0.2,7,2,adamw,0.01,normal,36.639397,58.68315,40.64564895629883,17.763523,COMPLETE
65,41.874263763427734,2025-01-16 23:00:24.873667,2025-01-16 23:03:16.555175,0 days 00:02:51.681508,5.0,0.6,50,0.0008,0.8,5,8,adam,0.001,he,39.09757,65.96043,41.874263763427734,15.066289,COMPLETE
66,12.67901611328125,2025-01-16 23:03:16.555834,2025-01-16 23:08:20.631938,0 days 00:05:04.076104,0.01,0.6,90,0.0008,0.7000000000000001,7,10,adamw,0.01,he,10.995601,19.164492,12.67901611328125,7.3105936,COMPLETE
67,26.07969093322754,2025-01-16 23:08:20.632491,2025-01-16 23:16:01.328491,0 days 00:07:40.696000,,0.2,60,0.02,0.6000000000000001,15,7,adamw,0.0,default,21.977716,39.418034,26.07969093322754,21.602962,COMPLETE
68,6.225051403045654,2025-01-16 23:16:01.329053,2025-01-16 23:20:29.418646,0 days 00:04:28.089593,,0.0,50,0.0003,0.8,15,4,adamw,0.0,default,4.7874756,11.067334,6.225051403045654,6.0164666,COMPLETE
69,33.186771392822266,2025-01-16 23:20:29.419260,2025-01-16 23:21:48.325800,0 days 00:01:18.906540,5.0,0.1,40,0.01,0.9,10,1,adam,0.0,he,32.686707,62.479485,33.186771392822266,5.7407703,COMPLETE
70,51.86012649536133,2025-01-16 23:21:48.326701,2025-01-16 23:33:08.231679,0 days 00:11:19.904978,2.0,0.5,80,0.0001,0.5,15,9,adamw,0.001,normal,50.12335,91.19539,51.86012649536133,13.326642,COMPLETE
71,57.42128372192383,2025-01-16 23:33:08.232306,2025-01-16 23:38:55.273063,0 days 00:05:47.040757,0.001,0.6,90,0.008,0.9,8,10,sgd,1e-05,normal,53.157314,89.789,57.42128372192383,22.810562,COMPLETE
72,8.197441101074219,2025-01-16 23:38:55.273691,2025-01-16 23:43:28.747820,0 days 00:04:33.474129,0.1,0.05,80,0.001,0.30000000000000004,6,9,adamw,0.0,he,6.0994406,15.701649,8.197441101074219,7.2553897,COMPLETE
73,47.99357223510742,2025-01-16 23:43:28.748625,2025-01-16 23:45:56.222416,0 days 00:02:27.473791,1.0,0.6,100,0.0003,0.4,6,5,adamw,0.0001,normal,44.147938,73.319565,47.99357223510742,18.82429,COMPLETE
